rating,label,tokens
5.0,bom,"['perfume', 'perfeito!', 'cheiro', 'incrível,', 'fixação', 'ótima!', 'leve,', 'elegante,', 'tudo', 'medida.']"
5.0,bom,"['excelente', 'perfume.', 'comprei', 'escuro,', 'avaliações,', 'não', 'arrependi.', 'usando', 'verão', '-', 'projeção', 'moderada', 'fixação', '4', 'horas.', 'espero', 'dias', 'frios', 'fixação', 'aproxime', 'resenhas', 'avaliações.']"
5.0,bom,"['simplesmente', 'maravilhoso!']"
5.0,bom,"['comprei', 'perfume', 'original', 'dar', 'presente', 'fiquei', 'impressionada', 'qualidade.', 'fragrância', 'marcante,', 'sofisticada', 'agradável,', 'ótima', 'fixação', 'projeção.', 'tipo', 'presente', 'transmite', 'cuidado', 'bom', 'gosto.', 'além', 'perfume', 'maravilhoso,', 'vem', 'bem', 'apresentado,', 'torna', 'experiência', 'especial.']"
4.0,bom,"['chegou', 'rápido,', 'três', 'dias', 'úteis.', 'inicialmente', 'bem', 'cheiroso', 'usei', 'pouquinho', 'pra', 'sentir', 'cheiro.', 'usar', 'pra', 'sair', 'pra', 'avaliar', 'performance.', 'chegou', 'certinho', 'bem', 'embalado.']"
5.0,bom,"['ótimo', 'perfume!', 'super', 'recomendo']"
5.0,bom,['top']
5.0,bom,"['bom,', 'realmente', 'queria,', 'chegou', 'super', 'rapido!']"
5.0,bom,"['perfume', 'excelente!']"
3.0,neutro,"['aroma', 'pouco', 'diferente', 'parfum,', 'fixação', 'fraca,', 'nao', 'vale', 'pena', 'preço', 'pago.']"
5.0,bom,"['bom', 'produto']"
5.0,bom,"['chegou', 'tudo', 'certo!', 'deu', 'presente', 'aniversario', 'namorado!', 'adorou', 'kkkkk', 'ótimo', 'perfume', 'usar', 'noite']"
1.0,negativo,"['fragrância', 'fraca', 'nenhuma', 'fixação.']"
5.0,bom,"['ótimo', 'perfume,', 'bom,', 'comprei', 'primeira', 'vez,recomendo.']"
5.0,bom,['excelente!']
5.0,bom,['maravilhoso']
5.0,bom,"['produto', 'entregue', 'prazo', 'combinado,', 'excelente', 'qualidade.']"
5.0,bom,"['perfume', 'cheiroso', 'fixação', 'não', 'boa,', 'vezes', 'fixação', 'boa,acho', 'q', 'mudei', 'estado,hj', 'moro', 'espírito', 'santo,', 'antes', 'morava', 'paulo', 'moro', 'faz', 'calor,', 'não', 'acho', 'q', 'perfume', 'calor', 'cheiroso']"
5.0,bom,"['peefume', 'maravilhoso.']"
1.0,negativo,"['fraco', 'nao', 'fixa', 'cheiro']"
1.0,negativo,"['fixação', 'péssima,', 'não', 'dura', '5', 'minutos.', 'suporte', 'plataforma', 'péssimo,', 'primeira', 'última', 'vez', 'compro', 'algo', 'nessa', 'plataforma.']"
3.0,neutro,"['bom', 'dia!', 'comprei', 'repor,', 'adquirido,', 'não', 'projeta', 'fixa', 'anterior', 'pele!', 'não', 'sei', 'porquê!']"
3.0,neutro,"['embora', 'fragrância', 'cheirosa,', 'tempo', 'fixação', 'deixou', 'desejar,', 'não', 'chegando', 'durar', '3', 'horas', 'pele,', 'levou', 'duvidar', 'originalidade', 'produto.']"
2.0,negativo,"['perfume', 'personalidade,', 'reduzidíssimo', 'tempo', 'performance,', 'baixa', 'fixação', 'caro', 'oferece.']"
1.0,negativo,"['não', 'fixa', 'não', 'projeta', 'nada.', 'não', 'dura', 'pele', '20', 'min!', 'não', 'recomendo.']"
1.0,negativo,"['pior', 'água', 'xuxu.']"
2.0,negativo,"['-', 'veio', 'bem', 'embalado', '-', 'chegou', 'antes', 'data', 'prevista', '-', 'perfume', 'não', 'deixa', 'impacto', 'muitos', 'falam', 'deixa.', '-', 'cheiro', 'normal', 'nada', 'extraordinário', '-', 'comprei', 'comentários,', 'arrependi.']"
3.0,neutro,"['comprei', '200ml', 'decepção.', 'fixação', 'zero.']"
3.0,neutro,"['perfume', 'aparentemente', 'falso.']"
3.0,neutro,"['produto', 'cheiroso', ',', 'dura', 'pouco', 'tempo', ',', 'fraco']"
3.0,neutro,"['comprei', 'cheiro', 'concentrado.']"
3.0,neutro,"['não', 'usei,', 'provei', 'cheiro', 'nao', 'fixou.', 'possivel,', 'após', 'uso,', 'farei', 'nova', 'avaliação.']"
3.0,neutro,"['sempre', 'quis', 'ter', 'perfume', 'amo', 'cheiro', 'ouvia', 'falar', 'bem', 'fixação.', 'entretanto,', 'ouvi', 'reformulações', 'diminuindo', 'fator', 'fragrância,', 'agora', 'posso', 'confirmar', 'isso.', 'perfume', 'fixa', 'pouquíssimo,', 'menos', 'mim.', 'mal', 'sinto', 'cheiro', '30', 'minutos', 'aplicação.', 'decepcionante!', 'cheiro', '-', '8/10', 'performance', '-', '5/10.']"
3.0,neutro,"['dia', 'dia', 'bom.']"
3.0,neutro,['adocicado.']
3.0,neutro,"['olá!', 'fragrância', 'agradável,', 'infelizmente', 'não', 'exatamente', 'esperava.', 'pena!', 'primeira', 'vez,', 'não', 'superou', 'expectativa.']"
3.0,neutro,"['agradável', 'projeção', 'mediana.']"
3.0,neutro,"['perfume', 'cheiro', 'forte', '!', 'pouca', 'fixação.', 'nao', 'q', 'esperava.']"
3.0,neutro,"['perfume', 'cheiro,', 'pega', 'projeção', 'fixação.']"
3.0,neutro,"['comprei', 'pra', 'namorado', 'cheiro', 'bom,', 'fixação', 'pele', 'durou', 'pouco.']"
3.0,neutro,"['bem', 'parecido', 'le', 'male,', 'fixação', 'aproximadamente', '3', '4', 'horas.']"
3.0,neutro,"['fragrância', 'agradável,', 'bom', 'dia.', 'fixação', 'baixa,', 'volátil.']"
3.0,neutro,"['cheiro', 'agradável,', 'fixador', 'fraco.']"
3.0,neutro,"['gosto', 'dia', 'dia.']"
3.0,neutro,"['relação', 'fragrância', 'perfume,', 'excelente.', 'entanto,', 'fixador', 'não', 'grande', 'coisa.', 'utilizá-lo,', 'percebi', 'que,', '30', '40', 'minutos,', 'quase', 'não', 'nota', 'perfume', 'relação', 'hora', 'aplicação.', 'usando', 'perfume', 'pontos', '(locais)', 'chaves,', 'atrás', 'orelha,', 'lado', 'pulso,', 'etc,', 'não', 'fica', 'tempo.', 'não', 'sei', 'tipo', 'pele,', 'acredito', 'dada', 'atenção', 'maior', 'fixador!']"
2.0,negativo,"['ruim', 'cheiro']"
2.0,negativo,"['não', 'fixa', 'não', 'projeta', 'nada.', 'não', 'dura', 'pele', '20', 'min!', 'não', 'recomendo']"
1.0,negativo,"['entregaram', 'rápido,', 'perfume', 'cheiro', 'vô,', 'extremamente', 'atacado.', 'comprei', 'esposo,', 'dei', 'pai.']"
1.0,negativo,"['gente', 'vou', 'falar', 'muita', 'tristeza', 'perfume,', 'tão', 'ansiosa', 'presente', 'aniversário', 'esposo,', 'decepcionei', 'muito,', 'assim', 'esposo,', 'cheiro', 'nós,', 'horrível', ',', 'lembra', 'zoeira', 'tabu,', 'site:', 'nada,', 'absolutamente', 'nada', 'reclamar;', 'beleza', 'web', 'sombra', 'dúvidas', 'melhor', 'site', 'compra', 'área', 'cosméticos;', 'enfim', 'perfume,', 'desculpem', 'deixou', 'super', 'desejar.']"
1.0,negativo,"['perfume', 'péssimo', 'fixação', 'não', 'cheiro', 'nenhum.', 'cheira.', 'álcool.', 'não', 'usarei', 'cheira', 'álcool.']"
1.0,negativo,"['não', 'gostei.', 'fixação', 'fraca', 'essencia', 'enjoativa.']"
1.0,negativo,"['não', 'gostei,', 'baixa', 'projeção', 'pouco', 'tempo', 'fixação.']"
1.0,negativo,"['compra', 'facilitada,', 'preço', 'acessível,', 'entrga', 'prazo', 'impossível', 'avaliar', 'produto.', 'performance', 'alguma.']"
1.0,negativo,"['comprei', '200ml.', 'fixação', 'zero!', 'pensei', 'pudesse', 'pele,', 'acabando', 'excelente', 'fixação.', 'decepção', 'total!']"
1.0,negativo,"['comprei', '200ml.', 'fixação', 'zero.', 'decepção', 'total!', 'pensei', 'pudesse', 'pele,', 'não', 'é.', 'final', 'fixação', 'longa.']"
1.0,negativo,"['comprei', 'escuro', 'base', 'avaliações,', 'infelizmente', 'não', 'gostei.', 'doce,', 'chegou', 'dar', 'dor', 'cabeça.', 'primeiro', 'momento', 'perfume', 'bem', 'ruim,', 'passar', 'tempo', 'ficar', 'pior', 'rs,', 'possui', 'nota', 'artificial', 'não', 'consegui', 'identificar.']"
1.0,negativo,['péssimo']
