rating,label,review_text
5.0,bom,"Esse perfume é perfeito! O cheiro é incrível, a fixação é ótima! É leve, elegante, tudo na medida."
5.0,bom,"É um excelente perfume. Comprei no escuro, só pelas avaliações, e não me arrependi. Estou usando no verão - projeção moderada e fixação de 4 horas. Espero que em dias mais frios a fixação se aproxime do que está nas resenhas e avaliações."
5.0,bom,Simplesmente maravilhoso!!!
5.0,bom,"Comprei esse perfume original para dar de presente e fiquei impressionada com a qualidade. A fragrância é marcante, sofisticada e muito agradável, com ótima fixação e projeção. É aquele tipo de presente que transmite cuidado e bom gosto. Além de ser um perfume maravilhoso, vem muito bem apresentado, o que torna a experiência ainda mais especial."
4.0,bom,"Chegou rápido, três dias úteis.. Inicialmente bem cheiroso só usei um pouquinho pra sentir o cheiro.. Tenho que usar pra sair pra avaliar a performance.. Chegou certinho bem embalado."
5.0,bom,Ótimo perfume! Super recomendo
5.0,bom,Top
5.0,bom,"Muito bom, realmente era o que eu queria, e chegou super rapido!"
5.0,bom,Perfume excelente!!
3.0,neutro,"O aroma é um pouco diferente do Parfum, a fixação é fraca, nao vale a pena pelo preço que é pago."
5.0,bom,Muito bom este produto
5.0,bom,Chegou tudo certo! deu de presente de aniversario para meu namorado! ele adorou e eu também kkkkk Ótimo perfume para usar de noite
1.0,negativo,Fragrância muito fraca e nenhuma fixação.
5.0,bom,"Ótimo perfume, muito bom, comprei pela primeira vez,recomendo."
5.0,bom,Excelente!
5.0,bom,Maravilhoso
5.0,bom,"Produto entregue no prazo combinado, excelente qualidade."
5.0,bom,"Perfume muito cheiroso porém a fixação não é muito boa, já tive outras vezes e a fixação era boa,acho também q é porque mudei de estado,hj moro no Espírito Santo, antes morava em São Paulo e onde moro faz muito calor, não acho q seja um perfume para o calor mas é muito cheiroso"
5.0,bom,Peefume Maravilhoso.
1.0,negativo,Muito fraco nao fixa o cheiro
1.0,negativo,"A fixação é péssima, não dura nem 5 minutos. O suporte da plataforma é péssimo, esta é a primeira e última vez que compro algo nessa plataforma."
3.0,neutro,"Bom Dia!! Comprei para repor, porém esse adquirido, não projeta e nem fixa com o anterior na minha pele!! Não sei o porquê!!"
3.0,neutro,"Embora a fragrância seja cheirosa, o tempo de fixação deixou muito a desejar, não chegando a durar 3 horas na pele, o que me levou a duvidar da originalidade do produto."
2.0,negativo,"Perfume sem personalidade, reduzidíssimo tempo de performance, baixa fixação e muito caro para o que oferece."
1.0,negativo,Não fixa e não projeta nada. Não dura na pele 20 min!!! Não recomendo.
1.0,negativo,Pior do que água de xuxu.
2.0,negativo,"- Veio bem embalado - Chegou antes da data prevista - Mas o perfume não deixa o impacto que muitos falam que deixa. - Cheiro normal nada extraordinário - Comprei pelos comentários, me arrependi."
3.0,neutro,Comprei o de 200ml e foi uma decepção. Fixação zero.
3.0,neutro,Perfume aparentemente falso.
3.0,neutro,"Produto cheiroso , mais dura pouco tempo , muito fraco"
3.0,neutro,Já comprei outros tinha o cheiro mais concentrado.
3.0,neutro,"Ainda não usei, mas quando provei o cheiro nao fixou. Se possivel, após o uso, farei uma nova avaliação."
3.0,neutro,"Sempre quis ter esse perfume porque amo o cheiro e ouvia falar muito bem sobre a fixação. Entretanto, ouvi também que as reformulações foram diminuindo muito esse fator da fragrância, e agora posso confirmar isso. O perfume fixa pouquíssimo, pelo menos em mim. Mal sinto o cheiro depois de 30 minutos da aplicação. Decepcionante! Cheiro - 8/10 Performance - 5/10."
3.0,neutro,Para o dia a dia está bom.
3.0,neutro,Muito adocicado.
3.0,neutro,"Olá! A fragrância é agradável, mas infelizmente não era exatamente o que eu esperava. Uma pena! Pela primeira vez, não superou a minha expectativa."
3.0,neutro,agradável com projeção mediana.
3.0,neutro,Perfume tem um cheiro muito forte ! Mais pouca fixação. Nao e o q eu esperava.
3.0,neutro,"Perfume muito cheiro, pega na projeção e fixação."
3.0,neutro,"Comprei pra meu namorado e o cheiro é bom, porém a fixação na pele dele durou muito pouco."
3.0,neutro,"Bem parecido com o Le Male, porém a fixação é de aproximadamente 3 a 4 horas."
3.0,neutro,"A fragrância é agradável, bom para o dia. Fixação baixa, muito volátil."
3.0,neutro,"Cheiro agradável, porém o fixador é fraco."
3.0,neutro,Gosto para o dia a dia.
3.0,neutro,"Em relação a fragrância do perfume, ele é excelente. No entanto, o fixador dele não é grande coisa. Ao utilizá-lo, percebi que, depois de uns 30 a 40 minutos, quase não se nota mais o perfume em relação ao que estava na hora da aplicação. Mesmo usando o perfume nos pontos (locais) chaves, como atrás da orelha, no lado de dentro do pulso, etc, ele não fica por muito tempo. Não sei se é o meu tipo de pele, mas acredito que deveria ser dada uma atenção maior quanto ao fixador!"
2.0,negativo,Muito ruim o cheiro
2.0,negativo,Não fixa e não projeta nada. Não dura na pele 20 min!!! Não recomendo
1.0,negativo,"Entregaram rápido, mas o perfume tem cheiro de vô, extremamente atacado. Comprei para o meu esposo, mas dei para o meu pai."
1.0,negativo,"Gente eu vou falar com muita tristeza sobre este perfume, eu estava tão ansiosa pois era um presente de aniversário para meu esposo, mas me decepcionei muito, assim como meu esposo, o cheiro dele PARA NÓS, é horrível , lembra sem zoeira o tabu, do site: nada, ABSOLUTAMENTE NADA para reclamar; beleza na web é sem sombra de dúvidas para mim o melhor site de compra na área de cosméticos; mas enfim o perfume, me desculpem deixou super a desejar."
1.0,negativo,Perfume péssimo sem fixação Não tem cheiro nenhum. Só cheira. A álcool. Não usarei pois só cheira a álcool.
1.0,negativo,Não gostei. Fixação fraca e essencia enjoativa.
1.0,negativo,"Não gostei, baixa projeção e pouco tempo de fixação."
1.0,negativo,"Compra facilitada, preço acessível, entrga no prazo mas impossível avaliar o produto. Sem performance alguma."
1.0,negativo,"Comprei o de 200ml. Fixação zero! Pensei que pudesse ser minha pele, mas tenho um outro que esta acabando com excelente fixação. Decepção total!"
1.0,negativo,"Comprei o de 200ml. Fixação zero. Decepção total! Pensei que pudesse ser minha pele, mas não é. Tenho um outro que esta no final que tem uma fixação longa."
1.0,negativo,"Comprei no escuro com base nas avaliações, e infelizmente não gostei. Muito doce, chegou a me dar dor de cabeça. No primeiro momento o perfume é bem ruim, e com o passar do tempo ficar pior ainda rs, possui uma nota artificial que não consegui identificar."
1.0,negativo,Péssimo
